geneSet	description	link	size	overlap	expect	enrichmentRatio	pValue	FDR	overlapId	userId	DB
GO:0007059	chromosome segregation	http://amigo.geneontology.org/amigo/term/GO:0007059	218	44	3.67451946771809	11.9743548473631	0	0	332;701;891;990;991;1062;1063;2237;4085;4288;4751;5347;7153;7272;9055;9134;9212;9232;9319;9493;9700;9787;9928;10403;10592;10615;11004;11130;11339;23397;24137;26271;29127;51203;55143;55165;55355;57405;64151;81930;83540;83990;113130;220134	FBXO5;SPC25;SKA1;FEN1;CENPF;BRIP1;CCNE2;SMC2;CDCA8;KIF2C;KIF18A;NEK2;NUSAP1;KIF14;MAD2L1;OIP5;CDCA5;HJURP;NDC80;NCAPH;NCAPG;RACGAP1;CCNB1;BUB1B;NUF2;AURKB;SPAG5;KIF23;BIRC5;TTK;ESPL1;MKI67;TOP2A;ZWINT;PRC1;PTTG1;DLGAP5;PLK1;CDC20;KIF4A;CDC6;CENPE;TRIP13;CEP55	geneontology_Biological_Process
GO:0098813	nuclear chromosome segregation	http://amigo.geneontology.org/amigo/term/GO:0098813	178	38	3.00029571217348	12.665418227216	0	0	701;891;990;991;1062;1063;2237;4085;4751;5347;7153;7272;9055;9134;9212;9232;9319;9493;9700;9787;9928;10403;10592;10615;11004;11130;23397;24137;26271;29127;51203;55143;55165;64151;81930;83540;83990;113130	FBXO5;FEN1;CENPF;BRIP1;CCNE2;SMC2;CDCA8;KIF2C;KIF18A;NEK2;NUSAP1;KIF14;MAD2L1;CDCA5;NDC80;NCAPH;NCAPG;RACGAP1;CCNB1;BUB1B;NUF2;AURKB;SPAG5;KIF23;TTK;ESPL1;TOP2A;ZWINT;PRC1;PTTG1;DLGAP5;PLK1;CDC20;KIF4A;CDC6;CENPE;TRIP13;CEP55	geneontology_Biological_Process
GO:0051783	regulation of nuclear division	http://amigo.geneontology.org/amigo/term/GO:0051783	166	27	2.7980285855101	9.64965123652505	0	0	701;890;891;990;991;1062;1063;1111;3832;4085;4288;4751;5347;7272;9134;9212;9232;9319;9700;9735;9787;10403;11065;26271;51203;54443;113130	FBXO5;CENPF;CCNE2;CHEK1;NEK2;NUSAP1;MAD2L1;CDCA5;NDC80;CCNB1;BUB1B;AURKB;TTK;ESPL1;CCNA2;MKI67;KIF11;KNTC1;PTTG1;DLGAP5;PLK1;CDC20;CDC6;UBE2C;CENPE;TRIP13;ANLN	geneontology_Biological_Process
GO:0007088	regulation of mitotic nuclear division	http://amigo.geneontology.org/amigo/term/GO:0007088	150	27	2.52833908329226	10.6789473684211	0	0	701;890;891;990;991;1062;1063;1111;3832;4085;4288;4751;5347;7272;9134;9212;9232;9319;9700;9735;9787;10403;11065;26271;51203;54443;113130	FBXO5;CENPF;CCNE2;CHEK1;NEK2;NUSAP1;MAD2L1;CDCA5;NDC80;CCNB1;BUB1B;AURKB;TTK;ESPL1;CCNA2;MKI67;KIF11;KNTC1;PTTG1;DLGAP5;PLK1;CDC20;CDC6;UBE2C;CENPE;TRIP13;ANLN	geneontology_Biological_Process
GO:0000819	sister chromatid segregation	http://amigo.geneontology.org/amigo/term/GO:0000819	146	36	2.4609167077378	14.6286950252343	0	0	701;891;990;991;1062;1063;2237;4085;4751;5347;7153;7272;9055;9212;9232;9319;9493;9700;9787;9928;10403;10592;10615;11004;11130;23397;24137;26271;29127;51203;55143;55165;64151;81930;83540;113130	FBXO5;FEN1;CENPF;SMC2;CDCA8;KIF2C;KIF18A;NEK2;NUSAP1;KIF14;MAD2L1;CDCA5;NDC80;NCAPH;NCAPG;RACGAP1;CCNB1;BUB1B;NUF2;AURKB;SPAG5;KIF23;TTK;ESPL1;TOP2A;ZWINT;PRC1;PTTG1;DLGAP5;PLK1;CDC20;KIF4A;CDC6;CENPE;TRIP13;CEP55	geneontology_Biological_Process
GO:0000070	mitotic sister chromatid segregation	http://amigo.geneontology.org/amigo/term/GO:0000070	127	34	2.14066042385412	15.8829488419211	0	0	701;891;990;991;1062;1063;4085;4751;5347;7272;9055;9212;9232;9319;9493;9700;9787;9928;10403;10592;10615;11004;11130;23397;24137;26271;29127;51203;55143;55165;64151;81930;83540;113130	FBXO5;CENPF;SMC2;CDCA8;KIF2C;KIF18A;NEK2;NUSAP1;KIF14;MAD2L1;CDCA5;NDC80;NCAPH;NCAPG;RACGAP1;CCNB1;BUB1B;NUF2;AURKB;SPAG5;KIF23;TTK;ESPL1;ZWINT;PRC1;PTTG1;DLGAP5;PLK1;CDC20;KIF4A;CDC6;CENPE;TRIP13;CEP55	geneontology_Biological_Process
GO:0051983	regulation of chromosome segregation	http://amigo.geneontology.org/amigo/term/GO:0051983	83	23	1.39901429275505	16.4401465511167	0	0	701;891;990;991;1062;1063;2237;4085;4288;4751;5347;7272;9212;9232;9319;9700;9787;10403;10615;11004;26271;29127;113130	FBXO5;FEN1;CENPF;KIF2C;NEK2;MAD2L1;CDCA5;NDC80;RACGAP1;CCNB1;BUB1B;AURKB;SPAG5;TTK;ESPL1;MKI67;PTTG1;DLGAP5;PLK1;CDC20;CDC6;CENPE;TRIP13	geneontology_Biological_Process
GO:0033045	regulation of sister chromatid segregation	http://amigo.geneontology.org/amigo/term/GO:0033045	67	18	1.12932479053721	15.9387274155538	0	0	701;891;990;991;1062;1063;2237;4085;5347;7272;9212;9232;9319;9700;9787;10403;26271;113130	FBXO5;FEN1;CENPF;MAD2L1;CDCA5;NDC80;CCNB1;BUB1B;AURKB;TTK;ESPL1;PTTG1;DLGAP5;PLK1;CDC20;CDC6;CENPE;TRIP13	geneontology_Biological_Process
GO:0010965	regulation of mitotic sister chromatid separation	http://amigo.geneontology.org/amigo/term/GO:0010965	49	16	0.825924100542139	19.3722401241198	0	0	701;891;990;991;1062;1063;4085;5347;7272;9212;9232;9319;9700;9787;10403;26271	FBXO5;CENPF;MAD2L1;NDC80;CCNB1;BUB1B;AURKB;TTK;ESPL1;PTTG1;DLGAP5;PLK1;CDC20;CDC6;CENPE;TRIP13	geneontology_Biological_Process
GO:1902850	microtubule cytoskeleton organization involved in mitosis	http://amigo.geneontology.org/amigo/term/GO:1902850	112	21	1.88782651552489	11.1239035087719	1.11022302462516e-16	3.30788028547527e-14	891;991;1062;3832;4605;4751;5080;5347;6491;7272;9055;9212;9493;9700;10403;22974;24137;29127;51203;57405;83540	SPC25;STIL;NEK2;NUSAP1;NDC80;RACGAP1;CCNB1;NUF2;AURKB;TPX2;KIF23;TTK;MYBL2;ESPL1;KIF11;PRC1;PLK1;CDC20;KIF4A;CENPE;PAX6	geneontology_Biological_Process
GO:0051304	chromosome separation	http://amigo.geneontology.org/amigo/term/GO:0051304	73	18	1.2304583538689	14.6286950252343	1.11022302462516e-16	3.30788028547527e-14	701;891;990;991;1062;1063;4085;5347;7153;7272;9212;9232;9319;9700;9787;10403;23397;26271	FBXO5;CENPF;MAD2L1;NDC80;NCAPH;CCNB1;BUB1B;AURKB;TTK;ESPL1;TOP2A;PTTG1;DLGAP5;PLK1;CDC20;CDC6;CENPE;TRIP13	geneontology_Biological_Process
GO:0051306	mitotic sister chromatid separation	http://amigo.geneontology.org/amigo/term/GO:0051306	52	16	0.876490882207984	18.2546108861898	1.11022302462516e-16	3.30788028547527e-14	701;891;990;991;1062;1063;4085;5347;7272;9212;9232;9319;9700;9787;10403;26271	FBXO5;CENPF;MAD2L1;NDC80;CCNB1;BUB1B;AURKB;TTK;ESPL1;PTTG1;DLGAP5;PLK1;CDC20;CDC6;CENPE;TRIP13	geneontology_Biological_Process
GO:1905818	regulation of chromosome separation	http://amigo.geneontology.org/amigo/term/GO:1905818	54	16	0.910202069985214	17.5785141867013	2.22044604925031e-16	5.98568813562192e-14	701;891;990;991;1062;1063;4085;5347;7272;9212;9232;9319;9700;9787;10403;26271	FBXO5;CENPF;MAD2L1;NDC80;CCNB1;BUB1B;AURKB;TTK;ESPL1;PTTG1;DLGAP5;PLK1;CDC20;CDC6;CENPE;TRIP13	geneontology_Biological_Process
GO:0030071	regulation of mitotic metaphase/anaphase transition	http://amigo.geneontology.org/amigo/term/GO:0030071	45	15	0.758501724987679	19.775828460039	2.22044604925031e-16	5.98568813562192e-14	701;891;990;991;1062;1063;4085;5347;7272;9212;9319;9700;9787;10403;26271	FBXO5;CENPF;MAD2L1;NDC80;CCNB1;BUB1B;AURKB;TTK;ESPL1;DLGAP5;PLK1;CDC20;CDC6;CENPE;TRIP13	geneontology_Biological_Process
GO:0000226	microtubule cytoskeleton organization	http://amigo.geneontology.org/amigo/term/GO:0000226	374	34	6.30399211434204	5.39340776182881	3.33066907387547e-16	8.57041710327683e-14	891;983;991;1062;1111;3832;4605;4751;5080;5347;6491;6566;7272;9055;9212;9493;9700;9928;10112;10403;10615;10733;11004;22974;24137;26271;29127;51203;57405;81930;83540;220134;259266;347733	FBXO5;SPC25;SKA1;STIL;KIF2C;KIF18A;CHEK1;NEK2;ASPM;NUSAP1;KIF14;NDC80;CDK1;PLK4;RACGAP1;CCNB1;NUF2;AURKB;TPX2;SPAG5;KIF23;TTK;MYBL2;ESPL1;KIF11;PRC1;PLK1;CDC20;KIF4A;KIF20A;CENPE;SLC16A1;PAX6;TUBB2B	geneontology_Biological_Process
GO:0007051	spindle organization	http://amigo.geneontology.org/amigo/term/GO:0007051	133	22	2.24179398718581	9.81356901024491	4.44089209850063e-16	1.09303870302661e-13	891;991;1062;3832;4605;4751;5347;6491;7272;9055;9212;9493;9700;10403;10615;22974;24137;26271;29127;57405;83540;259266	FBXO5;SPC25;STIL;NEK2;ASPM;NDC80;RACGAP1;CCNB1;NUF2;AURKB;TPX2;SPAG5;KIF23;TTK;MYBL2;ESPL1;KIF11;PRC1;PLK1;CDC20;KIF4A;CENPE	geneontology_Biological_Process
GO:0033047	regulation of mitotic sister chromatid segregation	http://amigo.geneontology.org/amigo/term/GO:0033047	57	16	0.96076885165106	16.6533292295065	6.66133814775094e-16	1.50839341017672e-13	701;891;990;991;1062;1063;4085;5347;7272;9212;9232;9319;9700;9787;10403;26271	FBXO5;CENPF;MAD2L1;NDC80;CCNB1;BUB1B;AURKB;TTK;ESPL1;PTTG1;DLGAP5;PLK1;CDC20;CDC6;CENPE;TRIP13	geneontology_Biological_Process
GO:1902099	regulation of metaphase/anaphase transition of cell cycle	http://amigo.geneontology.org/amigo/term/GO:1902099	47	15	0.792212912764909	18.9343038447182	6.66133814775094e-16	1.50839341017672e-13	701;891;990;991;1062;1063;4085;5347;7272;9212;9319;9700;9787;10403;26271	FBXO5;CENPF;MAD2L1;NDC80;CCNB1;BUB1B;AURKB;TTK;ESPL1;DLGAP5;PLK1;CDC20;CDC6;CENPE;TRIP13	geneontology_Biological_Process
GO:0007091	metaphase/anaphase transition of mitotic cell cycle	http://amigo.geneontology.org/amigo/term/GO:0007091	48	15	0.809068506653524	18.5398391812865	8.88178419700125e-16	1.93383770535477e-13	701;891;990;991;1062;1063;4085;5347;7272;9212;9319;9700;9787;10403;26271	FBXO5;CENPF;MAD2L1;NDC80;CCNB1;BUB1B;AURKB;TTK;ESPL1;DLGAP5;PLK1;CDC20;CDC6;CENPE;TRIP13	geneontology_Biological_Process
GO:1901987	regulation of cell cycle phase transition	http://amigo.geneontology.org/amigo/term/GO:1901987	321	31	5.41064563824544	5.72944562860943	1.55431223447522e-15	3.25887465161638e-13	701;891;983;990;991;1062;1063;1111;2146;3161;4085;4751;5347;7272;8317;8318;9212;9319;9700;9735;9787;9928;10403;10733;11065;22974;26271;51514;54443;113130;144455	FBXO5;E2F7;CENPF;CHEK1;DTL;NEK2;KIF14;MAD2L1;CDCA5;CDC45;CDC7;NDC80;CDK1;PLK4;CCNB1;BUB1B;AURKB;TPX2;TTK;ESPL1;KNTC1;DLGAP5;PLK1;CDC20;EZH2;CDC6;UBE2C;HMMR;CENPE;TRIP13;ANLN	geneontology_Biological_Process
GO:0044784	metaphase/anaphase transition of cell cycle	http://amigo.geneontology.org/amigo/term/GO:0044784	50	15	0.842779694430754	17.7982456140351	1.77635683940025e-15	3.59141288137315e-13	701;891;990;991;1062;1063;4085;5347;7272;9212;9319;9700;9787;10403;26271	FBXO5;CENPF;MAD2L1;NDC80;CCNB1;BUB1B;AURKB;TTK;ESPL1;DLGAP5;PLK1;CDC20;CDC6;CENPE;TRIP13	geneontology_Biological_Process
GO:1901990	regulation of mitotic cell cycle phase transition	http://amigo.geneontology.org/amigo/term/GO:1901990	301	30	5.07353376047314	5.91303840997843	1.99840144432528e-15	3.90101744011221e-13	701;891;983;990;991;1062;1063;2146;3161;4085;4751;5347;7272;8317;8318;9212;9319;9700;9735;9787;9928;10403;10733;11065;22974;26271;51514;54443;113130;144455	FBXO5;E2F7;CENPF;DTL;NEK2;KIF14;MAD2L1;CDCA5;CDC45;CDC7;NDC80;CDK1;PLK4;CCNB1;BUB1B;AURKB;TPX2;TTK;ESPL1;KNTC1;DLGAP5;PLK1;CDC20;EZH2;CDC6;UBE2C;HMMR;CENPE;TRIP13;ANLN	geneontology_Biological_Process
GO:0007017	microtubule-based process	http://amigo.geneontology.org/amigo/term/GO:0007017	497	37	8.3772301626417	4.41673432407309	9.32587340685131e-15	1.75979231187284e-12	891;983;991;1062;1111;3832;4605;4751;5080;5347;6491;6566;7272;8936;9055;9212;9493;9700;9787;9928;10112;10403;10615;10733;11004;22974;24137;26271;29127;51203;56992;57405;81930;83540;220134;259266;347733	FBXO5;SPC25;SKA1;STIL;KIF2C;KIF18A;CHEK1;NEK2;ASPM;NUSAP1;KIF14;NDC80;CDK1;PLK4;RACGAP1;CCNB1;NUF2;AURKB;TPX2;SPAG5;KIF23;TTK;MYBL2;ESPL1;KIF11;KIF15;PRC1;DLGAP5;PLK1;CDC20;KIF4A;KIF20A;CENPE;SLC16A1;PAX6;WASF1;TUBB2B	geneontology_Biological_Process
GO:0007052	mitotic spindle organization	http://amigo.geneontology.org/amigo/term/GO:0007052	93	18	1.5675702316412	11.4827391058291	1.19904086659517e-14	2.18960333735331e-12	891;991;1062;3832;4605;4751;5347;6491;7272;9055;9212;9493;10403;22974;24137;29127;57405;83540	SPC25;STIL;NEK2;NDC80;RACGAP1;CCNB1;NUF2;AURKB;TPX2;KIF23;TTK;MYBL2;KIF11;PRC1;PLK1;CDC20;KIF4A;CENPE	geneontology_Biological_Process
GO:0033046	negative regulation of sister chromatid segregation	http://amigo.geneontology.org/amigo/term/GO:0033046	37	13	0.623656973878758	20.8447921605816	1.3988810110277e-14	2.47470793857119e-12	701;891;991;1063;4085;5347;7272;9212;9232;9319;9700;10403;26271	FBXO5;CENPF;MAD2L1;NDC80;CCNB1;BUB1B;AURKB;TTK;ESPL1;PTTG1;PLK1;CDC20;TRIP13	geneontology_Biological_Process
GO:0051985	negative regulation of chromosome segregation	http://amigo.geneontology.org/amigo/term/GO:0051985	38	13	0.640512567767373	20.2962449984611	2.1094237467878e-14	3.61862055471688e-12	701;891;991;1063;4085;5347;7272;9212;9232;9319;9700;10403;26271	FBXO5;CENPF;MAD2L1;NDC80;CCNB1;BUB1B;AURKB;TTK;ESPL1;PTTG1;PLK1;CDC20;TRIP13	geneontology_Biological_Process
GO:0045786	negative regulation of cell cycle	http://amigo.geneontology.org/amigo/term/GO:0045786	460	35	7.75357318876294	4.51404780066107	2.94209101525666e-14	4.89858154040235e-12	701;891;983;990;991;1029;1033;1063;1111;2146;2305;3642;4085;4751;5347;5457;6241;6657;6664;7153;7272;8317;8318;9212;9232;9319;9700;9735;10403;11130;26271;51514;79968;83990;144455	FBXO5;E2F7;CENPF;BRIP1;WDR76;CHEK1;DTL;NEK2;MAD2L1;CDC45;CDC7;NDC80;CDK1;CCNB1;BUB1B;AURKB;TTK;ESPL1;FOXM1;TOP2A;ZWINT;KNTC1;PTTG1;PLK1;CDC20;EZH2;CDKN3;CDC6;RRM2;TRIP13;SOX11;CDKN2A;SOX2;POU4F1;INSM1	geneontology_Biological_Process
GO:0045787	positive regulation of cell cycle	http://amigo.geneontology.org/amigo/term/GO:0045787	309	29	5.20837851158206	5.56795170234107	3.10862446895044e-14	5.02797803392241e-12	429;890;891;983;990;1111;2146;2237;3642;4085;5457;8317;8318;9134;9212;9493;9700;9787;9928;10403;10615;10733;11065;26271;29127;51203;51514;113130;144455	FBXO5;FEN1;E2F7;CCNE2;CHEK1;DTL;NUSAP1;KIF14;MAD2L1;CDCA5;CDC45;CDC7;NDC80;CDK1;PLK4;RACGAP1;CCNB1;AURKB;SPAG5;KIF23;ESPL1;CCNA2;DLGAP5;EZH2;CDC6;UBE2C;POU4F1;ASCL1;INSM1	geneontology_Biological_Process
GO:0090068	positive regulation of cell cycle process	http://amigo.geneontology.org/amigo/term/GO:0090068	228	25	3.84307540660424	6.50520673027598	6.3726801613484e-14	1.00210395537204e-11	891;983;990;2146;2237;3642;4085;5457;8317;8318;9212;9493;9700;9787;9928;10403;10615;10733;11065;26271;29127;51203;51514;113130;144455	FBXO5;FEN1;E2F7;DTL;NUSAP1;KIF14;MAD2L1;CDCA5;CDC45;CDC7;NDC80;CDK1;PLK4;RACGAP1;CCNB1;AURKB;SPAG5;KIF23;ESPL1;DLGAP5;EZH2;CDC6;UBE2C;POU4F1;INSM1	geneontology_Biological_Process
GO:2000816	negative regulation of mitotic sister chromatid separation	http://amigo.geneontology.org/amigo/term/GO:2000816	33	12	0.556234598324298	21.5736310473153	9.31477117660506e-14	1.42515999002057e-11	701;891;991;1063;4085;5347;7272;9212;9232;9319;10403;26271	FBXO5;CENPF;MAD2L1;NDC80;CCNB1;BUB1B;AURKB;TTK;PTTG1;PLK1;CDC20;TRIP13	geneontology_Biological_Process
GO:0033044	regulation of chromosome organization	http://amigo.geneontology.org/amigo/term/GO:0033044	277	27	4.66899950714638	5.78282348470454	1.05249142734465e-13	1.56793525531528e-11	701;891;990;991;1062;1063;1111;2237;3670;4085;4171;4288;4602;4751;5347;7153;7272;8318;9212;9232;9319;9700;9787;10403;26271;29028;113130	FBXO5;MCM2;FEN1;CENPF;CHEK1;ATAD2;NEK2;MAD2L1;CDCA5;CDC45;NDC80;CCNB1;BUB1B;AURKB;TTK;ESPL1;MKI67;TOP2A;PTTG1;DLGAP5;PLK1;CDC20;CDC6;CENPE;MYB;TRIP13;ISL1	geneontology_Biological_Process
GO:0045839	negative regulation of mitotic nuclear division	http://amigo.geneontology.org/amigo/term/GO:0045839	43	13	0.724790537210449	17.9362165102679	1.32116539930394e-13	1.91772239114348e-11	701;891;991;1063;1111;4085;5347;7272;9212;9232;9319;10403;26271	FBXO5;CENPF;CHEK1;MAD2L1;NDC80;CCNB1;BUB1B;AURKB;TTK;PTTG1;PLK1;CDC20;TRIP13	geneontology_Biological_Process
GO:1905819	negative regulation of chromosome separation	http://amigo.geneontology.org/amigo/term/GO:1905819	34	12	0.573090192212913	20.9391124871001	1.41886502547095e-13	2.00804872729776e-11	701;891;991;1063;4085;5347;7272;9212;9232;9319;10403;26271	FBXO5;CENPF;MAD2L1;NDC80;CCNB1;BUB1B;AURKB;TTK;PTTG1;PLK1;CDC20;TRIP13	geneontology_Biological_Process
GO:1903046	meiotic cell cycle process	http://amigo.geneontology.org/amigo/term/GO:1903046	109	18	1.83725973385904	9.79719942056977	2.17048601314218e-13	2.89401061254836e-11	701;991;5347;7153;7272;9134;9156;9232;9319;9700;10592;23397;25788;26271;81930;83540;83990;259266	EXO1;FBXO5;BRIP1;CCNE2;SMC2;KIF18A;ASPM;NCAPH;BUB1B;NUF2;TTK;ESPL1;RAD54B;TOP2A;PTTG1;PLK1;CDC20;TRIP13	geneontology_Biological_Process
