geneSet	description	link	size	overlap	expect	enrichmentRatio	pValue	FDR	overlapId	userId	DB
GO:0048285	organelle fission	http://amigo.geneontology.org/amigo/term/GO:0048285	322	80	17.4568753080335	4.58272162619989	0	0	641;675;699;701;890;891;898;899;990;991;995;1062;1063;1111;1164;1843;2069;2175;2177;3619;3832;3833;3837;4085;4288;4603;4605;4751;5347;5888;5901;6790;7153;7272;7283;9055;9088;9133;9134;9212;9232;9319;9493;9585;9700;9735;9787;9918;9928;10051;10403;10460;10592;10615;11004;11065;11130;11200;22974;23310;23397;24137;26271;27085;27338;29127;51203;54443;55143;55165;64151;79075;79980;81620;81930;83540;83990;113130;146956;259266	KIF23;CDC6;TTK;KIF4A;NCAPH;KIF2C;SPAG5;TPX2;BUB1;PRC1;CDCA5;CHEK1;EME1;BUB1B;NCAPG;KIF11;TOP2A;ESPL1;KIF14;CDCA8;NEK2;DLGAP5;CCNB2;CCNA2;ANLN;NDC80;NUSAP1;KIFC1;RACGAP1;ASPM;CENPE;PLK1;NUF2;ZWINT;MYBL2;BRIP1;CEP55;CDC20;RAD51;MKI67;CCNB1;CENPF;BLM;AURKB;DSCC1;MAD2L1;CDC25C;FANCD2;TRIP13;CDT1;PKMYT1;TACC3;AURKA;KIF18A;KIF20B;INCENP;KNTC1;UBE2C;FBXO5;NCAPD2;MTBP;DSN1;FANCA;CCNE1;CCNF;NCAPD3;SMC2;BRCA2;KPNB1;UBE2S;CCNE2;TUBG1;PTTG1;RAN;CHEK2;SMC4;CKS2;MYBL1;DUSP1;EREG	geneontology_Biological_Process
GO:1901987	regulation of cell cycle phase transition	http://amigo.geneontology.org/amigo/term/GO:1901987	321	64	17.4026614095614	3.67759841404701	0	0	641;672;699;701;891;898;983;990;991;993;995;1017;1062;1063;1111;1843;1869;2146;2273;2956;3161;4085;4582;4751;5111;5347;5591;5933;6790;7272;7283;7832;8091;8317;8318;9212;9319;9401;9700;9735;9787;9793;9928;10403;10733;11065;11073;11170;11200;22974;26271;27085;51512;51514;54443;55159;56241;63967;79915;80174;81620;113130;144455;203068	CDC6;TTK;TPX2;BUB1;GTSE1;CDCA5;CHEK1;BUB1B;ESPL1;BRCA1;KIF14;DTL;NEK2;PLK4;DLGAP5;CLSPN;ANLN;NDC80;CDC45;CENPE;PLK1;CDC20;CDC25A;CDK1;CCNB1;CENPF;BLM;AURKB;MAD2L1;CDC25C;TRIP13;CDT1;HMMR;AURKA;CDK2;KNTC1;UBE2C;CDC7;FBXO5;EZH2;E2F1;TOPBP1;MTBP;RBL1;ATAD5;CCNE1;DBF4B;RECQL4;E2F7;MSH6;RFWD3;PCNA;TUBG1;TUBB;CHEK2;PRKDC;CKAP5;SUSD2;BTG2;MUC1;FHL1;HMGA2;FAM107A;DUSP1	geneontology_Biological_Process
GO:0045787	positive regulation of cell cycle	http://amigo.geneontology.org/amigo/term/GO:0045787	309	59	16.7520946278955	3.52194763165637	0	0	440;672;675;890;891;898;899;983;990;993;995;1017;1111;1163;1164;1663;1869;1894;1978;2069;2146;2237;4085;4582;5111;6790;7832;8061;8091;8317;8318;8851;8877;9133;9134;9212;9401;9493;9585;9700;9787;9928;10403;10615;10733;11065;11200;26271;27085;29127;29899;51203;51512;51514;79915;80174;81620;113130;144455	KIF23;CDC6;SPAG5;GTSE1;CDCA5;CHEK1;ESPL1;BRCA1;KIF14;DTL;PLK4;DLGAP5;CCNB2;CCNA2;NDC80;NUSAP1;CDC45;RACGAP1;CDC25A;CDK1;CCNB1;AURKB;MAD2L1;FEN1;CDC25C;CDT1;AURKA;CDK2;KIF20B;UBE2C;CDC7;ECT2;FBXO5;EZH2;E2F1;MTBP;ATAD5;CCNE1;CCNF;DBF4B;RECQL4;E2F7;BRCA2;CKS1B;CCNE2;PCNA;CHEK2;GPSM2;CKS2;DDX11;EIF4EBP1;ASNS;CDK5R1;SPHK1;BTG2;MUC1;HMGA2;FOSL1;EREG	geneontology_Biological_Process
GO:0000280	nuclear division	http://amigo.geneontology.org/amigo/term/GO:0000280	302	80	16.3725973385904	4.88621312462372	0	0	641;675;699;701;890;891;898;899;990;991;995;1062;1063;1111;1164;1843;2069;2175;2177;3619;3832;3833;3837;4085;4288;4603;4605;4751;5347;5888;5901;6790;7153;7272;7283;9055;9088;9133;9134;9212;9232;9319;9493;9585;9700;9735;9787;9918;9928;10051;10403;10460;10592;10615;11004;11065;11130;11200;22974;23310;23397;24137;26271;27085;27338;29127;51203;54443;55143;55165;64151;79075;79980;81620;81930;83540;83990;113130;146956;259266	KIF23;CDC6;TTK;KIF4A;NCAPH;KIF2C;SPAG5;TPX2;BUB1;PRC1;CDCA5;CHEK1;EME1;BUB1B;NCAPG;KIF11;TOP2A;ESPL1;KIF14;CDCA8;NEK2;DLGAP5;CCNB2;CCNA2;ANLN;NDC80;NUSAP1;KIFC1;RACGAP1;ASPM;CENPE;PLK1;NUF2;ZWINT;MYBL2;BRIP1;CEP55;CDC20;RAD51;MKI67;CCNB1;CENPF;BLM;AURKB;DSCC1;MAD2L1;CDC25C;FANCD2;TRIP13;CDT1;PKMYT1;TACC3;AURKA;KIF18A;KIF20B;INCENP;KNTC1;UBE2C;FBXO5;NCAPD2;MTBP;DSN1;FANCA;CCNE1;CCNF;NCAPD3;SMC2;BRCA2;KPNB1;UBE2S;CCNE2;TUBG1;PTTG1;RAN;CHEK2;SMC4;CKS2;MYBL1;DUSP1;EREG	geneontology_Biological_Process
GO:1901990	regulation of mitotic cell cycle phase transition	http://amigo.geneontology.org/amigo/term/GO:1901990	301	62	16.3183834401183	3.79939595288432	0	0	641;672;699;701;891;898;983;990;991;993;995;1017;1062;1063;1843;1869;2146;2273;2956;3161;4085;4582;4751;5111;5347;5591;5933;6790;7272;7283;7832;8091;8317;8318;9212;9319;9401;9700;9735;9787;9793;9928;10403;10733;11065;11073;11170;11200;22974;26271;27085;51512;51514;54443;55159;63967;79915;80174;81620;113130;144455;203068	CDC6;TTK;TPX2;BUB1;GTSE1;CDCA5;BUB1B;ESPL1;BRCA1;KIF14;DTL;NEK2;PLK4;DLGAP5;CLSPN;ANLN;NDC80;CDC45;CENPE;PLK1;CDC20;CDC25A;CDK1;CCNB1;CENPF;BLM;AURKB;MAD2L1;CDC25C;TRIP13;CDT1;HMMR;AURKA;CDK2;KNTC1;UBE2C;CDC7;FBXO5;EZH2;E2F1;TOPBP1;MTBP;RBL1;ATAD5;CCNE1;DBF4B;RECQL4;E2F7;MSH6;RFWD3;PCNA;TUBG1;TUBB;CHEK2;PRKDC;CKAP5;BTG2;MUC1;FHL1;HMGA2;FAM107A;DUSP1	geneontology_Biological_Process
GO:0140014	mitotic nuclear division	http://amigo.geneontology.org/amigo/term/GO:0140014	233	69	12.6318383440118	5.46238782676551	0	0	699;701;890;891;898;899;990;991;995;1062;1063;1111;1843;2069;3619;3832;3833;3837;4085;4288;4605;4751;5347;5901;6790;7272;7283;9055;9088;9133;9134;9212;9232;9319;9493;9585;9700;9735;9787;9918;9928;10051;10403;10460;10592;10615;11004;11065;11130;11200;22974;23310;23397;24137;26271;27085;27338;29127;51203;54443;55143;55165;64151;79075;79980;81620;81930;83540;113130	KIF23;CDC6;TTK;KIF4A;NCAPH;KIF2C;SPAG5;TPX2;BUB1;PRC1;CDCA5;CHEK1;BUB1B;NCAPG;KIF11;ESPL1;KIF14;CDCA8;NEK2;DLGAP5;CCNB2;CCNA2;ANLN;NDC80;NUSAP1;KIFC1;RACGAP1;CENPE;PLK1;NUF2;ZWINT;MYBL2;CEP55;CDC20;MKI67;CCNB1;CENPF;AURKB;DSCC1;MAD2L1;CDC25C;TRIP13;CDT1;PKMYT1;TACC3;AURKA;KIF18A;KIF20B;INCENP;KNTC1;UBE2C;FBXO5;NCAPD2;MTBP;DSN1;CCNE1;CCNF;NCAPD3;SMC2;KPNB1;UBE2S;CCNE2;TUBG1;PTTG1;RAN;CHEK2;SMC4;DUSP1;EREG	geneontology_Biological_Process
GO:0010948	negative regulation of cell cycle process	http://amigo.geneontology.org/amigo/term/GO:0010948	226	50	12.2523410547068	4.08085277554304	0	0	641;672;699;701;891;899;983;990;991;995;1017;1063;1111;1843;1869;2146;2273;2956;4085;4582;4751;5111;5347;5591;5888;5933;6241;6790;7272;7832;8091;8317;9212;9232;9319;9700;10403;11073;11170;11200;23512;26271;27085;51512;51514;55159;56241;63967;81620;144455	CDC6;TTK;BUB1;GTSE1;CHEK1;BUB1B;ESPL1;BRCA1;DTL;NEK2;CLSPN;NDC80;RRM2;PLK1;CDC20;CDK1;RAD51;CCNB1;CENPF;BLM;AURKB;MAD2L1;CDC25C;TRIP13;CDT1;AURKA;CDK2;CDC7;FBXO5;EZH2;E2F1;TOPBP1;MTBP;RBL1;CCNF;E2F7;MSH6;RFWD3;PCNA;PTTG1;SUZ12;CHEK2;PRKDC;SUSD2;BTG2;MUC1;FHL1;HMGA2;FAM107A;DUSP1	geneontology_Biological_Process
GO:0007059	chromosome segregation	http://amigo.geneontology.org/amigo/term/GO:0007059	218	70	11.8186298669295	5.92285237698082	0	0	332;641;672;699;701;891;898;990;991;1062;1063;1663;1843;1894;2177;2237;3619;3833;3837;4085;4288;4751;5347;5901;7153;7272;7283;9055;9134;9212;9232;9319;9493;9700;9787;9918;9928;10051;10403;10460;10592;10615;11004;11130;11339;23310;23397;24137;26271;27127;29127;51203;55143;55165;55166;55355;55839;57405;64151;79075;79980;81620;81930;83540;83990;113130;146956;220134;221150;348235	KIF23;CDC6;TTK;KIF4A;NCAPH;KIF2C;SPAG5;HJURP;BUB1;PRC1;CDCA5;EME1;BUB1B;NCAPG;TOP2A;ESPL1;BRCA1;KIF14;CDCA8;NEK2;DLGAP5;SKA3;NDC80;NUSAP1;KIFC1;RACGAP1;SPC25;CENPE;PLK1;NUF2;ZWINT;SKA1;BRIP1;CEP55;CDC20;MKI67;CCNB1;CENPF;BLM;AURKB;DSCC1;MAD2L1;BIRC5;FEN1;FANCD2;TRIP13;OIP5;CDT1;TACC3;KIF18A;CENPN;INCENP;ECT2;FBXO5;NCAPD2;DSN1;CCNE1;NCAPD3;SMC2;KPNB1;CCNE2;TUBG1;PTTG1;RAN;SMC4;CENPQ;SKA2;DDX11;SMC1B;DUSP1	geneontology_Biological_Process
GO:0044843	cell cycle G1/S phase transition	http://amigo.geneontology.org/amigo/term/GO:0044843	215	54	11.6559881715131	4.63281183932347	0	0	890;891;898;983;990;993;995;1017;1021;1029;1033;1869;1978;2146;2273;4171;4172;4173;4174;4175;4176;4582;4678;5111;5426;5427;5557;5558;5591;5933;6241;6502;6790;7298;7832;8317;8318;9134;9928;10926;11170;11200;23649;26271;27085;51053;51512;55159;55388;56241;81620;84515;128239;144455	CDC6;MCM10;GTSE1;KIF14;CCNA2;RRM2;CDC45;CDC25A;CDK1;MCM4;CCNB1;MCM6;CDC25C;CDKN3;MCM2;DBF4;CDT1;AURKA;IQGAP3;TYMS;CDK2;CDC7;FBXO5;EZH2;E2F1;POLE2;PRIM1;MTBP;MCM7;POLA2;RBL1;CCNE1;MCM8;E2F7;SKP2;POLE;MCM3;CCNE2;GMNN;RFWD3;PRIM2;MCM5;PCNA;CHEK2;PRKDC;NASP;SUSD2;EIF4EBP1;BTG2;MUC1;CDK6;FHL1;FAM107A;CDKN2A	geneontology_Biological_Process
GO:0045930	negative regulation of mitotic cell cycle	http://amigo.geneontology.org/amigo/term/GO:0045930	210	47	11.3849186791523	4.1282683982684	0	0	641;672;699;701;891;983;990;991;995;1017;1063;1111;1843;1869;2146;2273;2956;4085;4436;4582;5111;5347;5591;5933;6790;7153;7272;7832;8091;9212;9232;9319;9735;10403;11073;11130;11170;11200;26271;27085;51512;55055;55159;63967;81620;144455;146956	CDC6;TTK;BUB1;GTSE1;CHEK1;EME1;BUB1B;TOP2A;BRCA1;CLSPN;NDC80;PLK1;ZWINT;CDC20;CDK1;CCNB1;CENPF;BLM;AURKB;MAD2L1;CDC25C;TRIP13;CDT1;AURKA;CDK2;KNTC1;FBXO5;EZH2;ZWILCH;E2F1;TOPBP1;MTBP;RBL1;E2F7;MSH6;MSH2;RFWD3;PCNA;PTTG1;CHEK2;PRKDC;BTG2;MUC1;FHL1;HMGA2;FAM107A;DUSP1	geneontology_Biological_Process
