Term	ES	NES	NP	FDR	FWER
KEGG_BLADDER_CANCER	-0.4394	-1.548	0.0513	0.2155	0.823
KEGG_N_GLYCAN_BIOSYNTHESIS	-0.4202	-1.5464	0.0553	0.2089	0.823
KEGG_CHRONIC_MYELOID_LEUKEMIA	-0.4281	-1.5358	0.0617	0.2131	0.843
KEGG_GLYOXYLATE_AND_DICARBOXYLATE_METABOLISM	-0.5273	-1.5219	0.0487	0.2231	0.855
KEGG_PATHOGENIC_ESCHERICHIA_COLI_INFECTION	-0.3614	-1.4362	0.0943	0.347	0.926
KEGG_CITRATE_CYCLE_TCA_CYCLE	-0.4485	-1.4075	0.1683	0.3893	0.947
KEGG_PENTOSE_PHOSPHATE_PATHWAY	-0.448	-1.3973	0.1156	0.3963	0.948
KEGG_BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS	-0.4575	-1.393	0.131	0.3921	0.952
KEGG_MELANOMA	-0.3979	-1.3665	0.0927	0.4294	0.961
KEGG_PROSTATE_CANCER	-0.3706	-1.3489	0.142	0.4495	0.968
KEGG_RIBOFLAVIN_METABOLISM	-0.4467	-1.3408	0.1521	0.4521	0.971
KEGG_NON_SMALL_CELL_LUNG_CANCER	-0.3898	-1.3367	0.1626	0.4474	0.971
KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_BIOSYNTHESIS	-0.5717	-1.3314	0.1302	0.4453	0.971
KEGG_RENAL_CELL_CARCINOMA	-0.3532	-1.2868	0.2021	0.5181	0.985
KEGG_FOLATE_BIOSYNTHESIS	-0.5274	-1.2692	0.1836	0.5409	0.985
KEGG_GLIOMA	-0.359	-1.259	0.1858	0.548	0.986
KEGG_PROTEIN_EXPORT	-0.3873	-1.258	0.2341	0.5373	0.986
KEGG_HUNTINGTONS_DISEASE	-0.2554	-1.2519	0.2511	0.5368	0.986
KEGG_REGULATION_OF_ACTIN_CYTOSKELETON	-0.3208	-1.246	0.2041	0.5362	0.987
KEGG_DORSO_VENTRAL_AXIS_FORMATION	-0.4127	-1.2211	0.2444	0.5723	0.99
KEGG_GALACTOSE_METABOLISM	-0.3638	-1.2064	0.2447	0.5899	0.993
KEGG_ALZHEIMERS_DISEASE	-0.2383	-1.2051	0.2608	0.5794	0.993
KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS	-0.3053	-1.185	0.2279	0.6073	0.994
KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM	-0.3734	-1.1772	0.2392	0.6111	0.994
KEGG_TERPENOID_BACKBONE_BIOSYNTHESIS	-0.4396	-1.1693	0.3092	0.6143	0.994
KEGG_RIG_I_LIKE_RECEPTOR_SIGNALING_PATHWAY	-0.3349	-1.1688	0.2781	0.6031	0.994
KEGG_PATHWAYS_IN_CANCER	-0.2928	-1.1678	0.2767	0.5934	0.994
KEGG_GLYCINE_SERINE_AND_THREONINE_METABOLISM	-0.3957	-1.1541	0.249	0.609	0.995
KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM	-0.3232	-1.1471	0.3088	0.6103	0.995
KEGG_SPHINGOLIPID_METABOLISM	-0.3327	-1.143	0.2798	0.6075	0.996
KEGG_MTOR_SIGNALING_PATHWAY	-0.3254	-1.1357	0.3147	0.6105	0.996
KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM	-0.3477	-1.1335	0.3077	0.6035	0.996
KEGG_CYTOSOLIC_DNA_SENSING_PATHWAY	-0.3437	-1.1205	0.3174	0.618	0.996
KEGG_COLORECTAL_CANCER	-0.3229	-1.1125	0.3659	0.6219	0.996
KEGG_INSULIN_SIGNALING_PATHWAY	-0.2632	-1.1099	0.3054	0.6163	0.996
KEGG_INOSITOL_PHOSPHATE_METABOLISM	-0.3387	-1.0968	0.381	0.6313	0.997
KEGG_SNARE_INTERACTIONS_IN_VESICULAR_TRANSPORT	-0.2684	-1.0966	0.3579	0.6211	0.997
KEGG_FC_GAMMA_R_MEDIATED_PHAGOCYTOSIS	-0.3025	-1.0771	0.3833	0.6475	0.997
KEGG_ENDOCYTOSIS	-0.2572	-1.0701	0.3934	0.65	0.998
KEGG_GLYCOSYLPHOSPHATIDYLINOSITOL_GPI_ANCHOR_BIOSYNTHESIS	-0.3591	-1.0555	0.4138	0.666	0.998
KEGG_ADHERENS_JUNCTION	-0.2988	-1.0539	0.4277	0.6585	0.998
KEGG_GAP_JUNCTION	-0.2935	-1.0472	0.4012	0.6615	0.998
KEGG_BUTANOATE_METABOLISM	-0.3301	-1.0342	0.4125	0.6756	0.998
KEGG_DRUG_METABOLISM_OTHER_ENZYMES	-0.3334	-1.0258	0.4034	0.6811	0.999
KEGG_ERBB_SIGNALING_PATHWAY	-0.2731	-1.019	0.4385	0.6831	0.999
KEGG_NICOTINATE_AND_NICOTINAMIDE_METABOLISM	-0.3191	-0.9874	0.4676	0.7289	0.999
KEGG_SELENOAMINO_ACID_METABOLISM	-0.2974	-0.9871	0.4576	0.7191	0.999
KEGG_STEROID_BIOSYNTHESIS	-0.3721	-0.9804	0.4814	0.7221	0.999
KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION	-0.2401	-0.9778	0.4746	0.7167	0.999
KEGG_REGULATION_OF_AUTOPHAGY	-0.3333	-0.9551	0.5429	0.7488	1
KEGG_NOTCH_SIGNALING_PATHWAY	-0.2825	-0.9482	0.5221	0.7511	1
KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_LACTO_AND_NEOLACTO_SERIES	-0.3131	-0.9454	0.5314	0.7462	1
KEGG_PHOSPHATIDYLINOSITOL_SIGNALING_SYSTEM	-0.2923	-0.9424	0.5447	0.7424	1
KEGG_ENDOMETRIAL_CANCER	-0.2732	-0.9312	0.5732	0.7532	1
KEGG_GLYCOLYSIS_GLUCONEOGENESIS	-0.2434	-0.9277	0.564	0.7498	1
KEGG_OTHER_GLYCAN_DEGRADATION	-0.3108	-0.9221	0.5551	0.7498	1
KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY	-0.2966	-0.9048	0.5775	0.7713	1
KEGG_THYROID_CANCER	-0.2555	-0.898	0.5767	0.7737	1
KEGG_PANTOTHENATE_AND_COA_BIOSYNTHESIS	-0.3084	-0.8949	0.5948	0.77	1
KEGG_PYRUVATE_METABOLISM	-0.2586	-0.8838	0.596	0.7798	1
KEGG_AXON_GUIDANCE	-0.2525	-0.88	0.6029	0.7768	1
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY	-0.2274	-0.8787	0.6386	0.7699	1
KEGG_PARKINSONS_DISEASE	-0.2105	-0.8704	0.5163	0.7758	1
KEGG_ACUTE_MYELOID_LEUKEMIA	-0.2478	-0.8674	0.6175	0.7725	1
KEGG_GLYCEROLIPID_METABOLISM	-0.2414	-0.86	0.6836	0.7763	1
KEGG_TGF_BETA_SIGNALING_PATHWAY	-0.2462	-0.8567	0.6431	0.7733	1
KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY	-0.2597	-0.8563	0.5987	0.7656	1
KEGG_APOPTOSIS	-0.2281	-0.8416	0.6385	0.7811	1
KEGG_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY	-0.2446	-0.8381	0.6066	0.7792	1
KEGG_T_CELL_RECEPTOR_SIGNALING_PATHWAY	-0.252	-0.8345	0.6229	0.7767	1
KEGG_NEUROTROPHIN_SIGNALING_PATHWAY	-0.2058	-0.8332	0.6755	0.7704	1
KEGG_GLUTATHIONE_METABOLISM	-0.2577	-0.8301	0.6467	0.7676	1
KEGG_LONG_TERM_POTENTIATION	-0.2067	-0.8035	0.744	0.803	1
KEGG_VIBRIO_CHOLERAE_INFECTION	-0.1875	-0.7909	0.7553	0.8145	1
KEGG_STARCH_AND_SUCROSE_METABOLISM	-0.2525	-0.7829	0.7816	0.8185	1
KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_GLOBO_SERIES	-0.2872	-0.7651	0.7627	0.8379	1
KEGG_OXIDATIVE_PHOSPHORYLATION	-0.1921	-0.7514	0.6235	0.8504	1
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_HEPARAN_SULFATE	-0.2517	-0.7425	0.8185	0.8554	1
KEGG_PRIMARY_IMMUNODEFICIENCY	-0.2999	-0.7183	0.6981	0.8817	1
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_KERATAN_SULFATE	-0.2551	-0.6807	0.8643	0.9245	1
KEGG_TIGHT_JUNCTION	-0.1663	-0.6775	0.9354	0.9203	1
KEGG_MAPK_SIGNALING_PATHWAY	-0.1618	-0.6738	0.9498	0.9166	1
KEGG_WNT_SIGNALING_PATHWAY	-0.1721	-0.6697	0.9257	0.9131	1
KEGG_JAK_STAT_SIGNALING_PATHWAY	-0.1755	-0.6076	0.9658	0.9721	1
KEGG_TYPE_II_DIABETES_MELLITUS	-0.1778	-0.5967	0.9827	0.9732	1
KEGG_FOCAL_ADHESION	-0.1685	-0.5776	0.9245	0.9791	1
KEGG_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS	-0.2261	-0.5653	0.9309	0.9789	1
KEGG_ECM_RECEPTOR_INTERACTION	-0.1868	-0.5294	0.9625	0.9916	1
KEGG_PORPHYRIN_AND_CHLOROPHYLL_METABOLISM	-0.1589	-0.4915	0.9898	0.9997	1
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_CHONDROITIN_SULFATE	-0.1646	-0.483	0.9824	0.9937	1
KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY	-0.1407	-0.4587	0.9853	0.992	1
KEGG_OLFACTORY_TRANSDUCTION	-0.1458	-0.3675	1	0.9969	1
KEGG_ASCORBATE_AND_ALDARATE_METABOLISM	0.1601	0.392	1	0.9941	1
KEGG_TASTE_TRANSDUCTION	0.1845	0.4866	0.9713	0.9884	1
KEGG_CHEMOKINE_SIGNALING_PATHWAY	0.1735	0.5699	0.9518	0.9593	1
KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION	0.1885	0.5782	0.8786	0.9677	1
KEGG_MELANOGENESIS	0.1682	0.6342	0.9516	0.9319	1
KEGG_PRION_DISEASES	0.2172	0.6856	0.8343	0.8857	1
KEGG_RIBOSOME	0.2809	0.6869	0.7287	0.8976	1
KEGG_STEROID_HORMONE_BIOSYNTHESIS	0.2416	0.69	0.9195	0.9073	1
KEGG_VEGF_SIGNALING_PATHWAY	0.1882	0.6984	0.8852	0.911	1
KEGG_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION	0.2085	0.7119	0.7727	0.9075	1
KEGG_PROPANOATE_METABOLISM	0.2425	0.7574	0.7356	0.855	1
KEGG_MATURITY_ONSET_DIABETES_OF_THE_YOUNG	0.2954	0.7649	0.7846	0.8576	1
KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION	0.2353	0.8128	0.7917	0.7968	1
KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION	0.2655	0.8263	0.6501	0.7886	1
KEGG_GRAFT_VERSUS_HOST_DISEASE	0.3854	0.8533	0.6154	0.7571	1
KEGG_CALCIUM_SIGNALING_PATHWAY	0.2418	0.8587	0.6503	0.7612	1
KEGG_GNRH_SIGNALING_PATHWAY	0.2318	0.8836	0.6228	0.7342	1
KEGG_ARGININE_AND_PROLINE_METABOLISM	0.2584	0.8886	0.5915	0.7401	1
KEGG_SULFUR_METABOLISM	0.3638	0.9142	0.5619	0.7113	1
KEGG_LYSOSOME	0.2362	0.9147	0.5291	0.7245	1
KEGG_PEROXISOME	0.2462	0.9176	0.5344	0.7343	1
KEGG_GLYCOSAMINOGLYCAN_DEGRADATION	0.3156	0.9326	0.5385	0.7237	1
KEGG_HEDGEHOG_SIGNALING_PATHWAY	0.2987	0.945	0.5351	0.717	1
KEGG_LEISHMANIA_INFECTION	0.3528	0.9465	0.526	0.7297	1
KEGG_LIMONENE_AND_PINENE_DEGRADATION	0.3766	0.9541	0.4949	0.732	1
KEGG_LONG_TERM_DEPRESSION	0.2599	0.9572	0.5211	0.7425	1
KEGG_PHENYLALANINE_METABOLISM	0.3739	0.9684	0.5	0.7376	1
KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION	0.3098	0.9685	0.4748	0.7546	1
KEGG_TRYPTOPHAN_METABOLISM	0.2991	0.9745	0.4672	0.7618	1
KEGG_GLYCEROPHOSPHOLIPID_METABOLISM	0.2527	0.9759	0.4972	0.7779	1
KEGG_NITROGEN_METABOLISM	0.3416	0.9784	0.4675	0.7922	1
KEGG_TYPE_I_DIABETES_MELLITUS	0.401	0.9801	0.5019	0.8093	1
KEGG_RETINOL_METABOLISM	0.3433	0.9812	0.4533	0.8288	1
KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC	0.3155	1.0006	0.4699	0.8101	1
KEGG_VASOPRESSIN_REGULATED_WATER_REABSORPTION	0.2599	1.002	0.4432	0.8293	1
KEGG_FC_EPSILON_RI_SIGNALING_PATHWAY	0.298	1.0077	0.4342	0.8398	1
KEGG_ABC_TRANSPORTERS	0.3407	1.0403	0.4074	0.7942	0.999
KEGG_CIRCADIAN_RHYTHM_MAMMAL	0.4128	1.0429	0.4342	0.812	0.999
KEGG_BETA_ALANINE_METABOLISM	0.3311	1.0466	0.4141	0.8292	0.999
KEGG_O_GLYCAN_BIOSYNTHESIS	0.374	1.0703	0.3518	0.8017	0.999
KEGG_RENIN_ANGIOTENSIN_SYSTEM	0.4207	1.0773	0.3738	0.8128	0.999
KEGG_BASAL_CELL_CARCINOMA	0.3556	1.0991	0.3388	0.7895	0.999
KEGG_HYPERTROPHIC_CARDIOMYOPATHY_HCM	0.3527	1.1246	0.3301	0.7565	0.998
KEGG_CELL_ADHESION_MOLECULES_CAMS	0.3931	1.1441	0.332	0.7386	0.998
KEGG_VIRAL_MYOCARDITIS	0.3974	1.1558	0.3302	0.7396	0.997
KEGG_TYROSINE_METABOLISM	0.3664	1.1559	0.2768	0.7687	0.997
KEGG_HEMATOPOIETIC_CELL_LINEAGE	0.4575	1.189	0.3168	0.7175	0.995
KEGG_VASCULAR_SMOOTH_MUSCLE_CONTRACTION	0.3567	1.1967	0.2586	0.7306	0.995
KEGG_ALLOGRAFT_REJECTION	0.5682	1.2263	0.3099	0.6904	0.99
KEGG_PPAR_SIGNALING_PATHWAY	0.3555	1.236	0.1654	0.7001	0.99
KEGG_DILATED_CARDIOMYOPATHY	0.3934	1.2365	0.2158	0.7335	0.99
KEGG_AUTOIMMUNE_THYROID_DISEASE	0.494	1.2385	0.2606	0.7661	0.99
KEGG_CARDIAC_MUSCLE_CONTRACTION	0.3251	1.26	0.1832	0.7459	0.988
KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION	0.4237	1.31	0.1332	0.6492	0.975
KEGG_SYSTEMIC_LUPUS_ERYTHEMATOSUS	0.5384	1.3527	0.2246	0.5737	0.965
KEGG_ETHER_LIPID_METABOLISM	0.4348	1.3581	0.0965	0.5976	0.964
KEGG_PROXIMAL_TUBULE_BICARBONATE_RECLAMATION	0.459	1.3589	0.1115	0.6376	0.963
KEGG_METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450	0.4754	1.36	0.1451	0.6837	0.962
KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_GANGLIO_SERIES	0.5109	1.3646	0.128	0.7263	0.962
KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION	0.597	1.3778	0.1954	0.7442	0.959
KEGG_HISTIDINE_METABOLISM	0.4625	1.3982	0.08	0.7464	0.952
KEGG_TAURINE_AND_HYPOTAURINE_METABOLISM	0.5989	1.3984	0.1027	0.8284	0.951
KEGG_COMPLEMENT_AND_COAGULATION_CASCADES	0.5062	1.4233	0.0932	0.8215	0.941
KEGG_FATTY_ACID_METABOLISM	0.4299	1.425	0.1466	0.9297	0.941
KEGG_PRIMARY_BILE_ACID_BIOSYNTHESIS	0.6048	1.5284	0.0224	0.6082	0.836
KEGG_DRUG_METABOLISM_CYTOCHROME_P450	0.5618	1.6234	0.0233	0.376	0.672
KEGG_ASTHMA	0.7571	1.6346	0.021	0.433	0.643
KEGG_ALPHA_LINOLENIC_ACID_METABOLISM	0.6142	1.6472	0.0239	0.5267	0.622
KEGG_LINOLEIC_ACID_METABOLISM	0.6973	1.8653	0.0019	0.1022	0.153
KEGG_ARACHIDONIC_ACID_METABOLISM	0.6287	1.8754	0	0.1897	0.144
