Term	ES	NES	NP	FDR	FWER
KEGG_PANCREATIC_CANCER	-0.2971	-0.9723	0.4733	0.8825	1
KEGG_GAP_JUNCTION	-0.2763	-0.9626	0.5069	0.8814	1
KEGG_MELANOGENESIS	-0.2936	-0.9589	0.501	0.8659	1
KEGG_GLYCOSYLPHOSPHATIDYLINOSITOL_GPI_ANCHOR_BIOSYNTHESIS	-0.3315	-0.9329	0.5507	0.9046	1
KEGG_NON_SMALL_CELL_LUNG_CANCER	-0.2674	-0.9272	0.5729	0.8946	1
KEGG_MELANOMA	-0.2915	-0.9239	0.5913	0.8787	1
KEGG_BASAL_CELL_CARCINOMA	-0.3277	-0.9081	0.5604	0.8921	1
KEGG_PROSTATE_CANCER	-0.2703	-0.9075	0.5762	0.8721	1
KEGG_GLYOXYLATE_AND_DICARBOXYLATE_METABOLISM	-0.3288	-0.9055	0.5663	0.8565	1
KEGG_CHRONIC_MYELOID_LEUKEMIA	-0.2315	-0.8985	0.6265	0.852	1
KEGG_HEDGEHOG_SIGNALING_PATHWAY	-0.3069	-0.8974	0.6211	0.8357	1
KEGG_GLIOMA	-0.2613	-0.8866	0.67	0.8389	1
KEGG_PATHOGENIC_ESCHERICHIA_COLI_INFECTION	-0.2653	-0.865	0.6341	0.8657	1
KEGG_PATHWAYS_IN_CANCER	-0.2612	-0.8579	0.6632	0.8616	1
KEGG_NEUROTROPHIN_SIGNALING_PATHWAY	-0.197	-0.8252	0.7695	0.9078	1
KEGG_BLADDER_CANCER	-0.3169	-0.7859	0.7489	0.9634	1
KEGG_GLYCEROLIPID_METABOLISM	-0.2497	-0.7645	0.8916	0.9815	1
KEGG_NOTCH_SIGNALING_PATHWAY	-0.1883	-0.7401	0.858	1	1
KEGG_TAURINE_AND_HYPOTAURINE_METABOLISM	-0.3218	-0.7398	0.8546	0.9847	1
KEGG_OXIDATIVE_PHOSPHORYLATION	-0.188	-0.7361	0.7515	0.9716	1
KEGG_PENTOSE_PHOSPHATE_PATHWAY	-0.2473	-0.7271	0.8385	0.9669	1
KEGG_RENAL_CELL_CARCINOMA	-0.1927	-0.7125	0.9089	0.9691	1
KEGG_GLUTATHIONE_METABOLISM	-0.2659	-0.7076	0.8245	0.9583	1
KEGG_WNT_SIGNALING_PATHWAY	-0.2009	-0.6819	0.9735	0.9716	1
KEGG_TERPENOID_BACKBONE_BIOSYNTHESIS	-0.2728	-0.6692	0.8703	0.9689	1
KEGG_TGF_BETA_SIGNALING_PATHWAY	-0.2141	-0.6559	0.9811	0.9648	1
KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_BIOSYNTHESIS	-0.287	-0.6308	0.8589	0.9708	1
KEGG_DORSO_VENTRAL_AXIS_FORMATION	-0.2002	-0.6282	0.9593	0.9573	1
KEGG_OLFACTORY_TRANSDUCTION	-0.1861	-0.6236	0.8818	0.9453	1
KEGG_FC_GAMMA_R_MEDIATED_PHAGOCYTOSIS	-0.188	-0.5771	0.9756	0.9574	1
KEGG_CITRATE_CYCLE_TCA_CYCLE	0.1896	0.5149	0.9421	0.9794	1
KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM	0.1857	0.5362	0.9928	0.981	1
KEGG_GALACTOSE_METABOLISM	0.2226	0.6449	0.9494	0.9291	1
KEGG_RIBOFLAVIN_METABOLISM	0.2543	0.6603	0.9259	0.9243	1
KEGG_PRIMARY_IMMUNODEFICIENCY	0.3553	0.6872	0.804	0.9053	1
KEGG_MTOR_SIGNALING_PATHWAY	0.1814	0.7114	0.9225	0.8864	1
KEGG_ALZHEIMERS_DISEASE	0.1677	0.7295	0.9095	0.872	1
KEGG_TASTE_TRANSDUCTION	0.231	0.7333	0.8683	0.8748	1
KEGG_PRION_DISEASES	0.2944	0.7439	0.8275	0.869	1
KEGG_T_CELL_RECEPTOR_SIGNALING_PATHWAY	0.2511	0.7459	0.7235	0.8736	1
KEGG_LONG_TERM_POTENTIATION	0.2349	0.7766	0.8312	0.8365	1
KEGG_AXON_GUIDANCE	0.2308	0.8129	0.8577	0.7851	1
KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS	0.2861	0.8154	0.7293	0.7884	1
KEGG_STARCH_AND_SUCROSE_METABOLISM	0.3315	0.822	0.7465	0.7854	1
KEGG_ACUTE_MYELOID_LEUKEMIA	0.2642	0.8477	0.682	0.7507	1
KEGG_BUTANOATE_METABOLISM	0.3082	0.8488	0.6853	0.7561	1
KEGG_REGULATION_OF_ACTIN_CYTOSKELETON	0.225	0.8548	0.6841	0.7531	1
KEGG_ADHERENS_JUNCTION	0.2329	0.8653	0.6897	0.7419	1
KEGG_CYTOSOLIC_DNA_SENSING_PATHWAY	0.3395	0.8674	0.6228	0.7452	1
KEGG_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY	0.3524	0.8717	0.6439	0.7448	1
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_HEPARAN_SULFATE	0.3222	0.8728	0.6827	0.7502	1
KEGG_ENDOMETRIAL_CANCER	0.2446	0.8736	0.6983	0.7561	1
KEGG_BETA_ALANINE_METABOLISM	0.3144	0.8797	0.6729	0.7535	1
KEGG_PANTOTHENATE_AND_COA_BIOSYNTHESIS	0.3837	0.882	0.6016	0.7569	1
KEGG_THYROID_CANCER	0.3012	0.8868	0.6416	0.756	1
KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY	0.3399	0.8939	0.5785	0.7508	1
KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_LACTO_AND_NEOLACTO_SERIES	0.3413	0.9131	0.5787	0.723	1
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_CHONDROITIN_SULFATE	0.3502	0.9181	0.5734	0.721	1
KEGG_PYRUVATE_METABOLISM	0.3075	0.9221	0.5509	0.7215	1
KEGG_INSULIN_SIGNALING_PATHWAY	0.2302	0.936	0.5692	0.7032	1
KEGG_CELL_ADHESION_MOLECULES_CAMS	0.3601	0.9416	0.556	0.7006	1
KEGG_SULFUR_METABOLISM	0.4543	0.9453	0.5606	0.7007	1
KEGG_LIMONENE_AND_PINENE_DEGRADATION	0.4249	0.9463	0.5296	0.7064	1
KEGG_ECM_RECEPTOR_INTERACTION	0.3849	0.9482	0.5112	0.7107	1
KEGG_STEROID_HORMONE_BIOSYNTHESIS	0.4205	0.9486	0.5524	0.718	1
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_KERATAN_SULFATE	0.4004	0.959	0.5264	0.7056	1
KEGG_CHEMOKINE_SIGNALING_PATHWAY	0.3764	0.9674	0.5331	0.6981	1
KEGG_PHOSPHATIDYLINOSITOL_SIGNALING_SYSTEM	0.2671	0.971	0.5112	0.6993	1
KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION	0.2862	0.9722	0.4898	0.7056	1
KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY	0.4533	0.9738	0.5515	0.7107	1
KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_GLOBO_SERIES	0.3897	0.9846	0.4831	0.6973	1
KEGG_RIG_I_LIKE_RECEPTOR_SIGNALING_PATHWAY	0.3045	0.9996	0.4524	0.677	1
KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY	0.3749	1.0087	0.4805	0.6671	1
KEGG_PORPHYRIN_AND_CHLOROPHYLL_METABOLISM	0.4441	1.0231	0.4522	0.6468	1
KEGG_N_GLYCAN_BIOSYNTHESIS	0.2826	1.0237	0.4272	0.6538	1
KEGG_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS	0.5125	1.0306	0.4462	0.6489	1
KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION	0.4027	1.033	0.4504	0.6524	1
KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM	0.3796	1.0465	0.3777	0.6338	1
KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION	0.4685	1.0615	0.4382	0.6129	1
KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION	0.3397	1.068	0.3779	0.6086	1
KEGG_GLYCOLYSIS_GLUCONEOGENESIS	0.3729	1.0683	0.3309	0.6164	1
KEGG_TYPE_I_DIABETES_MELLITUS	0.4835	1.0729	0.4131	0.6158	1
KEGG_ERBB_SIGNALING_PATHWAY	0.2899	1.0739	0.3301	0.6229	1
KEGG_NICOTINATE_AND_NICOTINAMIDE_METABOLISM	0.4333	1.0743	0.3598	0.6312	1
KEGG_PROPANOATE_METABOLISM	0.37	1.0808	0.3566	0.6271	1
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY	0.327	1.0871	0.3069	0.623	1
KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION	0.5633	1.1021	0.4067	0.6004	1
KEGG_INOSITOL_PHOSPHATE_METABOLISM	0.2907	1.1024	0.3063	0.6093	1
KEGG_TYPE_II_DIABETES_MELLITUS	0.3404	1.1077	0.2689	0.6072	1
KEGG_VIBRIO_CHOLERAE_INFECTION	0.3209	1.1143	0.326	0.6029	1
KEGG_APOPTOSIS	0.3844	1.1205	0.3709	0.5989	1
KEGG_LEISHMANIA_INFECTION	0.5418	1.13	0.3957	0.5886	1
KEGG_TRYPTOPHAN_METABOLISM	0.4473	1.1311	0.2495	0.596	1
KEGG_HEMATOPOIETIC_CELL_LINEAGE	0.5491	1.1426	0.3694	0.5821	1
KEGG_DRUG_METABOLISM_OTHER_ENZYMES	0.4651	1.1503	0.2736	0.5759	1
KEGG_SYSTEMIC_LUPUS_ERYTHEMATOSUS	0.5706	1.1532	0.3552	0.5784	1
KEGG_PPAR_SIGNALING_PATHWAY	0.4236	1.1603	0.2254	0.5727	0.999
KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC	0.3694	1.1627	0.2373	0.5777	0.999
KEGG_ALLOGRAFT_REJECTION	0.624	1.1639	0.3513	0.5858	0.999
KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION	0.4192	1.1642	0.2938	0.5959	0.999
KEGG_GRAFT_VERSUS_HOST_DISEASE	0.635	1.1716	0.3373	0.5908	0.999
KEGG_VEGF_SIGNALING_PATHWAY	0.3658	1.1723	0.2447	0.6007	0.999
KEGG_ASCORBATE_AND_ALDARATE_METABOLISM	0.6199	1.1724	0.2863	0.6125	0.999
KEGG_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION	0.4353	1.1781	0.293	0.6121	0.999
KEGG_JAK_STAT_SIGNALING_PATHWAY	0.4142	1.1872	0.2992	0.6024	0.999
KEGG_FC_EPSILON_RI_SIGNALING_PATHWAY	0.4173	1.203	0.2355	0.5772	0.999
KEGG_GNRH_SIGNALING_PATHWAY	0.3244	1.2077	0.1466	0.5787	0.999
KEGG_FOCAL_ADHESION	0.4057	1.2079	0.2505	0.5912	0.999
KEGG_TIGHT_JUNCTION	0.3199	1.2099	0.1351	0.5995	0.999
KEGG_SELENOAMINO_ACID_METABOLISM	0.3995	1.2162	0.2084	0.5961	0.999
KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM	0.4308	1.2168	0.237	0.6088	0.999
KEGG_ASTHMA	0.6379	1.23	0.2664	0.5891	0.999
KEGG_AUTOIMMUNE_THYROID_DISEASE	0.5414	1.2303	0.254	0.6029	0.999
KEGG_VIRAL_MYOCARDITIS	0.4936	1.2336	0.2593	0.6094	0.999
KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_GANGLIO_SERIES	0.5173	1.2354	0.2113	0.6201	0.999
KEGG_GLYCEROPHOSPHOLIPID_METABOLISM	0.3639	1.236	0.1339	0.6352	0.999
KEGG_CIRCADIAN_RHYTHM_MAMMAL	0.531	1.2437	0.2381	0.6316	0.999
KEGG_ENDOCYTOSIS	0.3041	1.2565	0.1468	0.6131	0.999
KEGG_MAPK_SIGNALING_PATHWAY	0.3259	1.2609	0.108	0.6192	0.999
KEGG_VASOPRESSIN_REGULATED_WATER_REABSORPTION	0.3641	1.2683	0.1474	0.6147	0.999
KEGG_RENIN_ANGIOTENSIN_SYSTEM	0.6078	1.2714	0.1451	0.6256	0.999
KEGG_NITROGEN_METABOLISM	0.5447	1.2896	0.124	0.5896	0.996
KEGG_CARDIAC_MUSCLE_CONTRACTION	0.3668	1.2988	0.1642	0.5818	0.995
KEGG_ALPHA_LINOLENIC_ACID_METABOLISM	0.6486	1.3106	0.1394	0.5668	0.995
KEGG_CALCIUM_SIGNALING_PATHWAY	0.3721	1.3327	0.0328	0.5226	0.989
KEGG_ETHER_LIPID_METABOLISM	0.5935	1.3378	0.0886	0.5274	0.988
KEGG_METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450	0.6236	1.3451	0.1144	0.5265	0.987
KEGG_PRIMARY_BILE_ACID_BIOSYNTHESIS	0.6347	1.3513	0.1111	0.5297	0.986
KEGG_LONG_TERM_DEPRESSION	0.4259	1.3513	0.0651	0.5517	0.986
KEGG_PHENYLALANINE_METABOLISM	0.61	1.3614	0.0739	0.544	0.983
KEGG_SNARE_INTERACTIONS_IN_VESICULAR_TRANSPORT	0.3746	1.373	0.1048	0.5298	0.977
KEGG_PEROXISOME	0.4408	1.382	0.1352	0.5225	0.972
KEGG_SPHINGOLIPID_METABOLISM	0.4798	1.3862	0.0927	0.5339	0.971
KEGG_VASCULAR_SMOOTH_MUSCLE_CONTRACTION	0.4141	1.3869	0.051	0.5599	0.971
KEGG_LINOLEIC_ACID_METABOLISM	0.6404	1.3891	0.076	0.5824	0.971
KEGG_ABC_TRANSPORTERS	0.5233	1.4119	0.0551	0.5314	0.958
KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION	0.5021	1.4211	0.0298	0.5332	0.954
KEGG_DRUG_METABOLISM_CYTOCHROME_P450	0.6435	1.4215	0.0562	0.5676	0.954
KEGG_FATTY_ACID_METABOLISM	0.5698	1.4346	0.0706	0.5546	0.947
KEGG_RETINOL_METABOLISM	0.6528	1.4721	0.0299	0.4558	0.913
KEGG_HISTIDINE_METABOLISM	0.6294	1.4781	0.0317	0.4718	0.903
KEGG_ARGININE_AND_PROLINE_METABOLISM	0.5425	1.496	0.0385	0.4448	0.875
KEGG_ARACHIDONIC_ACID_METABOLISM	0.6696	1.5026	0.0179	0.4603	0.866
KEGG_DILATED_CARDIOMYOPATHY	0.4809	1.5212	0.0207	0.4382	0.833
KEGG_COMPLEMENT_AND_COAGULATION_CASCADES	0.7658	1.5295	0.0077	0.4632	0.818
KEGG_PROXIMAL_TUBULE_BICARBONATE_RECLAMATION	0.6503	1.5379	0.0211	0.4931	0.809
KEGG_HYPERTROPHIC_CARDIOMYOPATHY_HCM	0.4951	1.5688	0.0081	0.4374	0.728
KEGG_TYROSINE_METABOLISM	0.6648	1.5961	0.0118	0.4061	0.647
KEGG_O_GLYCAN_BIOSYNTHESIS	0.692	1.6627	0	0.2547	0.424
KEGG_LYSOSOME	0.5466	1.6638	0.0181	0.338	0.421
KEGG_OTHER_GLYCAN_DEGRADATION	0.711	1.7195	0.002	0.309	0.278
KEGG_GLYCOSAMINOGLYCAN_DEGRADATION	0.7221	1.7564	0.002	0.4149	0.208
